query_id	all_nMatch	diffExprds_nMatch
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr11_TAD231	2	2
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr22_TAD52	2	1
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr4_TAD103	2	NA
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr16_TAD64	2	NA
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr8_TAD26	2	1
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr8_TAD41	2	2
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr8_TAD41	2	1
ENCSR444WCZ_A549NCI-H460_40kb_TCGAlusc_norm_lusc_chr4_TAD61	2	NA
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr1_TAD110	2	NA
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr14_TAD150	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD250	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD252	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr19_TAD109	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr19_TAD69	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr7_TAD185	2	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chr8_TAD175	2	1
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutCTNNB1_chr16_TAD2	2	1
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD118	2	NA
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr3_TAD18	2	NA
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr4_TAD135	2	NA
GSE105194_cerebellum_40kb_TCGAgbm_classical_proneural_chr9_TAD43	2	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD103	2	NA
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr3_TAD18	2	NA
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr4_TAD135	2	NA
GSE105194_spinal_cord_40kb_TCGAgbm_classical_proneural_chr9_TAD42	2	1
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD70	2	NA
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr3_TAD17	2	NA
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr4_TAD96	2	NA
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr9_TAD33	2	2
GSE73782_PC3_40kb_TCGAprad_norm_prad_chr15_TAD37	2	NA
GSE73782_PC3_40kb_TCGAprad_norm_prad_chr16_TAD1	2	2
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr15_TAD38	2	NA
MCF-7_40kb_TCGAbrca_lum_bas_chr1_TAD71	2	NA
MCF-7_40kb_TCGAbrca_lum_bas_chr14_TAD132	2	NA
MCF-7ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr1_TAD35	2	NA
MCF-7ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr14_TAD80	2	NA
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr11_TAD225	2	1
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr16_TAD99	2	NA
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr22_TAD43	2	2
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr8_TAD45	2	1
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr22_TAD43	2	1
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr8_TAD45	2	2
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chr8_TAD63	2	1
NCI-H460_40kb_TCGAlusc_norm_lusc_chr4_TAD113	2	NA
ENCSR079VIJ_G401ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr19_TAD3	1	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr1_TAD322	1	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr11_TAD230	1	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_lowInf_highInf_chr3_TAD96	1	NA
ENCSR312KHQ_SK-MEL-5_40kb_TCGAskcm_wt_mutBRAF_chrX_TAD250	1	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr11_TAD131	1	NA
ENCSR312KHQ_SK-MEL-5ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr22_TAD25	1	NA
ENCSR346DCU_LNCaP_40kb_TCGAprad_norm_prad_chr19_TAD1	1	NA
ENCSR401TBQ_Caki2_40kb_TCGAkich_norm_kich_chr19_TAD5	1	NA
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr22_TAD64	1	1
ENCSR444WCZ_A549_40kb_TCGAluad_mutKRAS_mutEGFR_chr9_TAD191	1	1
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr22_TAD64	1	1
ENCSR444WCZ_A549_40kb_TCGAluad_wt_mutKRAS_chr9_TAD191	1	1
ENCSR444WCZ_A549_40kb_TCGAlusc_norm_lusc_chr1_TAD214	1	NA
ENCSR444WCZ_A549NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr16_TAD8	1	NA
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr12_TAD111	1	NA
ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr6_TAD300	1	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr1_TAD256	1	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr22_TAD45	1	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_lowInf_highInf_chr3_TAD76	1	NA
ENCSR862OGI_RPMI-7951_40kb_TCGAskcm_wt_mutBRAF_chrX_TAD193	1	NA
GSE105194_cerebellum_40kb_TCGAgbm_classical_mesenchymal_chr11_TAD108	1	NA
GSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr10_TAD146	1	NA
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr11_TAD106	1	NA
GSE105194_spinal_cord_40kb_TCGAgbm_classical_mesenchymal_chr19_TAD79	1	1
GSE105194_spinal_cord_40kb_TCGAgbm_classical_neural_chr19_TAD79	1	1
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr1_TAD353	1	NA
GSE105194_spinal_cord_40kb_TCGAlgg_IDHwt_IDHmutnc_chr10_TAD139	1	NA
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr1_TAD295	1	NA
GSE105194_spinal_cordGSE105194_cerebellum_40kb_TCGAlgg_IDHwt_IDHmutnc_chr15_TAD4	1	1
GSE105381_HepG2_40kb_TCGAlihc_wt_mutCTNNB1_chrX_TAD186	1	1
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr19_TAD1	1	NA
GSE73782_PC3_ICE_40kb_TCGAprad_norm_prad_chr8_TAD238	1	1
K562_40kb_TCGAlaml_wt_mutFLT3_chr15_TAD11	1	1
MCF-7_40kb_TCGAbrca_lum_bas_chr1_TAD304	1	NA
MCF-7_40kb_TCGAbrca_lum_bas_chr15_TAD122	1	NA
MCF-7_40kb_TCGAbrca_lum_bas_chr6_TAD251	1	NA
MCF-7ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr1_TAD172	1	NA
MCF-7ENCSR549MGQ_T47D_40kb_TCGAbrca_lum_bas_chr15_TAD64	1	NA
NCI-H460_40kb_TCGAluad_mutKRAS_mutEGFR_chr16_TAD13	1	NA
NCI-H460_40kb_TCGAluad_nonsmoker_smoker_chr8_TAD250	1	1
NCI-H460_40kb_TCGAluad_wt_mutKRAS_chrX_TAD157	1	1
NCI-H460_40kb_TCGAlusc_norm_lusc_chr1_TAD232	1	NA
